Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Financial crisis,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,PSB,Interest,current account,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
34,43,36,44,70,64,64,11,0,35,39,6,0,0,0,44,38,0,0,44,0,0,0,39,0,51,0,7,0,49,48,0,53,24,32,19,27,13,0,41,38,0,0,59,24,0,0,0,62,0,0,34,60,0,0
39,41,27,38,78,42,50,11,19,28,47,17,0,83,0,38,21,0,0,39,28,0,0,36,0,41,0,0,40,59,50,0,56,24,77,19,26,13,0,45,39,0,0,64,24,0,0,0,54,39,0,63,49,0,0
37,46,26,39,69,38,53,9,0,35,44,21,0,73,0,50,51,0,0,43,33,0,0,44,0,42,0,0,38,48,46,0,43,33,78,24,24,14,0,41,47,0,0,62,20,0,0,100,55,49,24,42,58,0,0
36,41,24,41,72,38,45,12,0,33,39,0,0,38,0,71,100,0,0,50,39,0,0,36,0,35,0,0,0,39,44,0,44,24,57,33,26,19,0,42,37,0,0,56,22,0,0,0,49,0,36,52,58,0,0
37,53,21,37,88,56,62,8,0,31,45,0,0,54,75,70,27,0,0,34,0,0,0,72,0,41,0,0,68,51,43,0,44,28,74,20,22,0,0,44,38,0,0,63,23,0,0,97,49,39,41,45,52,0,0
33,58,29,37,76,53,63,11,17,29,44,0,0,72,0,80,26,0,0,44,0,0,0,55,0,44,0,0,82,38,48,0,42,23,87,23,27,12,0,45,58,0,0,70,21,0,0,0,60,38,67,40,50,0,0
31,55,30,37,80,79,58,11,0,25,43,0,0,93,0,85,41,0,0,42,42,0,0,64,0,41,0,0,95,44,43,0,40,22,100,30,26,13,0,37,43,0,0,81,24,0,0,0,53,45,76,52,54,0,0
34,52,34,46,90,65,70,11,0,28,49,8,0,100,0,59,25,0,0,49,0,0,0,43,0,35,0,0,82,31,46,0,48,23,85,28,24,16,0,39,53,0,0,61,24,0,0,0,57,31,82,48,51,0,0
36,55,36,51,80,70,62,14,0,29,37,5,0,62,59,54,66,0,0,41,32,0,0,56,0,36,0,0,100,32,38,0,40,23,75,28,20,10,0,44,48,0,0,55,18,0,0,73,57,30,38,59,54,0,0
35,47,29,49,81,54,82,15,0,28,39,8,0,28,0,61,82,0,0,37,0,0,0,52,0,39,0,0,46,30,34,0,41,34,55,28,21,15,0,35,47,0,0,71,20,0,0,0,52,44,36,58,57,0,0
