Cars,Construction,Unemployment,Newspapers,Jobs,Inflation,Aviation,Birthday,Business News,Loan,Real estate,elections,Car Loan,Weddings,budget,revenue,House Loan,Economy News,Travel,Fitness,subsidy,Interest,mehngai,Politics,parliament,protest,Economic crisis,stock market,trade,M0,Investment,World News,Crisis,Cinema,Credit,Textile,LSM,Tourism,Agriculture,Cigarette,CPI,government,Manufacturing,deficit,FMCG,Fast Food,Food,USAID,Recession,economic growth,Hotels,taxes,House for sale
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,89,0,0,53,64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0
0,20,0,0,0,0,0,0,0,0,0,0,0,0,75,0,0,0,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0
0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0
0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0
0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0
0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,100,0,0,0,0,0,0,0,0,70,0,55,0,0,32,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0
0,16,0,0,42,0,0,0,0,0,50,28,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,45,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,48,0,0
0,21,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0,0,0,0,0,0,0,39,0,0,0,0,51,46,0,0,0,84,0,0,0,0,0,0,0,0,0,0,0,40,0,0
0,17,0,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,52,0,0,0,0,44,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0
28,31,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0
